"No.","Time","Time Diff","Source","Destination","Protocol","Length","Info"
"1476","742.111083","0.000086","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/77 HTTP/1.1 "
"1500","746.104579","0.000085","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/78 HTTP/1.1 "
"1509","809.172734","0.004813","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/79 HTTP/1.1 "
"1537","810.426847","0.000116","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/80 HTTP/1.1 "
"1561","812.667117","0.000085","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/81 HTTP/1.1 "
"1585","816.766491","0.000122","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/82 HTTP/1.1 "
"1604","822.185106","0.000089","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/83 HTTP/1.1 "
"1623","824.743889","0.000091","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/84 HTTP/1.1 "
"1644","828.752703","0.000215","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/85 HTTP/1.1 "
"1663","832.735727","0.000091","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/86 HTTP/1.1 "
"1690","839.151699","0.000111","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/87 HTTP/1.1 "
"1711","840.717764","0.000208","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/88 HTTP/1.1 "
"1733","848.218550","0.000116","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/89 HTTP/1.1 "
"1760","849.413988","0.000115","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/90 HTTP/1.1 "
"1786","852.705132","0.000085","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/91 HTTP/1.1 "
"1809","860.383939","0.000097","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/92 HTTP/1.1 "
"1830","861.709100","0.000128","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/93 HTTP/1.1 "
"1860","864.900615","0.000083","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/94 HTTP/1.1 "
"1892","868.702236","0.000086","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/95 HTTP/1.1 "
"1914","872.672428","0.001593","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/96 HTTP/1.1 "
"1933","876.668257","0.001497","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/97 HTTP/1.1 "
"1943","940.654702","0.000125","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/98 HTTP/1.1 "
"1962","941.895151","0.000092","192.168.2.9","192.168.2.3","HTTP","124","GET /otaku/anime/99 HTTP/1.1 "
"1981","943.325781","0.000087","192.168.2.9","192.168.2.3","HTTP","125","GET /otaku/anime/100 HTTP/1.1 "
